學校類型,學校代碼,學校名稱,縣市別,"學生宿舍床位數
(床)","自有宿舍床位數
(床)","教職員宿舍單身床位
(床)","教職員宿舍有眷戶數
(戶)",可使用校地-校舍基地(平方公尺),"可使用校地-露天運動場地
(平方公尺)","可使用校地-其他校地
(平方公尺)","無法使用校地
(平方公尺)"
國立大學,0001,國立政治大學,臺北市,6698,6698,68,99,89646,70032,914414,19192
國立大學,0002,國立清華大學,臺北市,0,0,0,0,1176,0,807,0
國立大學,0002,國立清華大學,新竹縣,0,0,0,0,0,0,0,101134
國立大學,0002,國立清華大學,新竹市,8391,8391,208,301,139494,48113,848341,0
國立大學,0003,國立臺灣大學,臺北市,8640,8640,72,730,471921,33529,862834,0
國立大學,0004,國立臺灣師範大學,新北市,0,0,1,13,25578,38552,245177,0
國立大學,0004,國立臺灣師範大學,臺北市,4145,4145,12,19,112097,55314,56234,0
國立大學,0005,國立成功大學,臺南市,6535,6535,110,129,238668,45345,1571735,0
國立大學,0006,國立中興大學,臺中市,3298,3298,106,131,100470,30909,400146,0
國立大學,0007,國立交通大學,臺北市,0,0,0,0,1172,0,621,0
國立大學,0007,國立交通大學,臺南市,100,30,0,0,3752,550,77689,0
國立大學,0007,國立交通大學,新竹縣,0,0,0,0,3477,0,21524,0
國立大學,0007,國立交通大學,新竹市,7563,7563,165,139,102958,97928,569217,0
國立大學,0008,國立中央大學,新北市,0,0,0,0,0,0,104,0
國立大學,0008,國立中央大學,臺北市,0,0,0,0,0,0,30,0
國立大學,0008,國立中央大學,桃園市,6208,6208,107,242,102617,22143,490174,0
國立大學,0008,國立中央大學,宜蘭縣,0,0,0,0,0,0,19,0
國立大學,0008,國立中央大學,新竹縣,0,0,0,0,0,0,15,0
國立大學,0008,國立中央大學,南投縣,0,0,0,0,195,0,735,0
國立大學,0008,國立中央大學,嘉義縣,0,0,0,0,134,0,815,0
國立大學,0008,國立中央大學,屏東縣,0,0,0,0,0,0,15,0
國立大學,0008,國立中央大學,臺東縣,0,0,0,0,0,0,15,0
國立大學,0008,國立中央大學,基隆市,0,0,0,0,0,0,15,0
國立大學,0009,國立中山大學,高雄市,4140,4140,57,91,64530,70000,154939,444628
國立大學,0012,國立臺灣海洋大學,基隆市,2915,2915,20,21,53299,15383,173571,86422
國立大學,0013,國立中正大學,臺北市,0,0,0,0,33,0,0,0
國立大學,0013,國立中正大學,嘉義縣,3735,3735,116,221,121975,12738,1171243,0
國立大學,0013,國立中正大學,嘉義市,0,0,0,0,618,0,682,0
國立大學,0014,國立高雄師範大學,高雄市,3550,3550,24,55,130740,33837,481987,0
國立大學,0015,國立彰化師範大學,臺中市,0,0,0,6,283,0,234,0
國立大學,0015,國立彰化師範大學,彰化縣,2652,2652,64,50,45863,33647,436744,0
國立大學,0016,國立陽明大學,臺北市,2453,2453,29,123,41918,28740,429007,0
國立大學,0017,國立臺北大學,新北市,1060,1060,0,0,28940,23158,493186,0
國立大學,0017,國立臺北大學,臺北市,575,575,0,3,12843,4074,29302,55
國立大學,0018,國立嘉義大學,嘉義縣,1283,1283,42,0,25006,32900,142499,0
國立大學,0018,國立嘉義大學,嘉義市,2580,2580,46,0,69905,77305,1290300,104626
國立大學,0019,國立高雄大學,高雄市,1614,1614,16,46,64279,30500,730418,0
國立大學,0020,國立東華大學,臺北市,0,0,0,0,32,0,0,0
國立大學,0020,國立東華大學,花蓮縣,6232,6232,39,146,374271,77725,2017555,0
國立大學,0021,國立暨南國際大學,南投縣,2840,2840,103,69,61509,53400,1369687,0
國立大學,0022,國立臺灣科技大學,新北市,0,0,0,0,0,0,56693,0
國立大學,0022,國立臺灣科技大學,臺北市,2740,1986,0,70,30644,14261,52767,22592
國立大學,0022,國立臺灣科技大學,新竹縣,0,0,0,0,0,0,70406,0
國立大學,0022,國立臺灣科技大學,基隆市,0,0,0,0,0,0,98959,0
國立大學,0023,國立雲林科技大學,雲林縣,2718,2718,52,83,79588,58002,443547,0
國立大學,0024,國立屏東科技大學,臺北市,0,0,0,1,51,0,0,0
國立大學,0024,國立屏東科技大學,屏東縣,3241,3241,0,15,134999,48219,2452700,3030137
國立大學,0024,國立屏東科技大學,臺東縣,36,0,0,0,181,0,0,5760441
國立大學,0025,國立臺北科技大學,新北市,200,0,0,0,0,0,51250,1522768
國立大學,0025,國立臺北科技大學,臺北市,1572,1572,0,0,30095,11744,54679,0
國立大學,0025,國立臺北科技大學,桃園市,0,0,0,0,0,1767,0,0
國立大學,0025,國立臺北科技大學,基隆市,0,0,0,0,0,0,0,309146
國立大學,0026,國立高雄第一科技大學,高雄市,1722,1722,32,14,60135,36134,638140,0
國立大學,0027,國立高雄應用科技大學,高雄市,1268,1268,35,28,50119,23070,201566,920536
國立大學,0028,國立臺北藝術大學,臺北市,1429,1429,0,0,41368,15136,72816,241535
國立大學,0029,國立臺灣藝術大學,新北市,840,840,0,0,19703,10350,48906,18500
國立大學,0030,國立臺東大學,臺東縣,2416,2416,32,8,66970,37100,548993,65614
國立大學,0031,國立宜蘭大學,宜蘭縣,1524,1524,63,1,45938,4977,367912,109224
國立大學,0032,國立聯合大學,苗栗縣,2830,2830,141,0,46328,21766,701525,0
國立大學,0033,國立虎尾科技大學,雲林縣,1877,1877,110,0,57019,37290,278454,0
國立大學,0034,國立高雄海洋科技大學,高雄市,1847,1847,0,39,54306,37229,140445,0
國立大學,0035,國立臺南藝術大學,臺南市,1320,1320,43,41,35337,10144,279976,250000
國立大學,0036,國立臺南大學,臺南市,1478,1478,0,11,30304,13788,65997,0
國立大學,0037,國立臺北教育大學,臺北市,1385,1385,0,16,23128,12666,42305,411
國立大學,0039,國立臺中教育大學,臺中市,2010,2010,0,4,29741,16083,54593,0
國立大學,0042,國立澎湖科技大學,澎湖縣,715,715,20,29,20794,16552,420633,0
國立大學,0043,國立勤益科技大學,臺中市,931,918,0,0,26708,30653,244344,25772
國立大學,0044,國立體育大學,桃園市,1224,1224,38,12,47862,92107,465428,11922
國立大學,0046,國立臺北護理健康大學,臺北市,1356,1356,0,27,20582,15399,46847,0
國立大學,0047,國立高雄餐旅大學,高雄市,1358,1358,0,0,18402,8578,123064,0
